run_id,observer_name,lane,fire_id,fire_time_utc,signal_symbol,signal_mint,control_symbol,control_mint,signal_net_1m,control_net_1m,delta_1m,signal_net_5m,control_net_5m,delta_5m,signal_net_15m,control_net_15m,delta_15m,signal_net_30m,control_net_30m,delta_30m,signal_entry_r_m5,control_entry_r_m5,signal_entry_rv5m,control_entry_rv5m,signal_entry_vol_h1,control_entry_vol_h1,signal_entry_liquidity,control_entry_liquidity,row_valid_signal,row_valid_control,signal_fwd_jitter_5m_sec,control_fwd_jitter_5m_sec,outlier_flag
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0445,2026-03-05T04:45:00+00:00,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,-0.01499700000000003,-0.011129700000000011,-0.003867300000000018,-0.01499700000000003,-0.011129700000000011,-0.003867300000000018,-0.014708599999999952,-0.010810100000000036,-0.003898499999999916,-0.014737300000000056,-0.010812000000000035,-0.0039253000000000204,0.02,-0.49,0.0,0.1103419704413702,1162.93,1963.51,1116363.55,1480283.61,1,1,1,2,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0500,2026-03-05T05:00:00+00:00,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,-0.01499700000000003,-0.011091199999999959,-0.0039058000000000703,-0.01499700000000003,-0.010854200000000027,-0.004142800000000002,-0.015025700000000022,-0.011251000000000002,-0.0037747000000000197,-0.01667589999999996,-0.013737100000000049,-0.00293879999999991,0.57,0.0,0.09112852877806624,0.0,1233.33,2082.88,1119959.48,3350333.12,1,1,6,6,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0515,2026-03-05T05:15:00+00:00,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,-0.011644100000000037,-0.01499700000000003,0.003352899999999992,-0.011644100000000037,-0.015178600000000033,0.003534499999999996,-0.009048200000000053,-0.016647199999999966,0.007598999999999913,-0.01163190000000002,-0.0177178,0.006085899999999979,0.62,-0.43,0.1029653720215389,0.10413805165512816,353.71,483.4,1487150.85,1117878.64,1,1,8,8,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0545,2026-03-05T05:45:00+00:00,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,-0.010196399999999986,-0.014099100000000022,0.0039027000000000367,-0.009096299999999937,-0.014099100000000022,0.005002800000000085,-0.007282800000000025,-0.01514429999999999,0.007861499999999966,-0.006015899999999954,-0.014991500000000038,0.008975600000000084,0.03,-0.29,0.03675588784497197,0.06493082625875003,36975.52,2277.72,403440.07,1475883.17,1,1,1,1,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0600,2026-03-05T06:00:00+00:00,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,-0.014994199999999949,-0.008161199999999971,-0.006832999999999978,-0.014997999999999947,-0.008127399999999998,-0.006870599999999949,-0.015694800000000002,-0.01071319999999997,-0.004981600000000032,-0.01686359999999997,-0.01150220000000001,-0.005361399999999962,0.65,0.0,0.1490614031072168,0.0,3600.61,2690.45,9557672.94,5262372.36,1,1,4,4,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0615,2026-03-05T06:15:00+00:00,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,-0.010799100000000053,-0.011113400000000042,0.0003142999999999896,-0.010747999999999971,-0.01245379999999995,0.0017057999999999796,-0.016219399999999988,-0.013383800000000048,-0.00283559999999994,-0.016499400000000046,-0.011861899999999972,-0.004637500000000074,0.11,0.0,0.04594344756595561,0.0,24994.2,8289.4,403069.24,3307233.94,1,1,7,7,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0630,2026-03-05T06:30:00+00:00,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,-0.01499700000000003,-0.010597300000000023,-0.004399700000000006,-0.010829300000000033,-0.01002230000000003,-0.0008070000000000022,-0.012429800000000038,-0.009485200000000074,-0.002944599999999964,-0.012429800000000038,-0.00820679999999995,-0.004223000000000088,2.02,0.0,0.33225833762355045,0.0,6583.83,5494.3,1124389.98,3308332.81,1,1,9,9,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0700,2026-03-05T07:00:00+00:00,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,-0.010146199999999985,-0.01430609999999998,0.004159899999999994,-0.01087309999999996,-0.02219870000000001,0.011325600000000048,-0.007399900000000006,-0.02219870000000001,0.014798800000000003,-0.0041470999999999505,-0.02513560000000003,0.020988500000000077,0.08,0.0,0.020924960161387906,0.0,28593.79,8410.22,407283.9,1124345.77,1,1,2,3,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0715,2026-03-05T07:15:00+00:00,Pnut ,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,-0.014994999999999972,-0.014994199999999949,-8.000000000230045e-07,-0.018021500000000017,-0.014994199999999949,-0.003027300000000068,-0.019671600000000004,-0.015203100000000016,-0.004468499999999988,-0.019671600000000004,-0.013777200000000036,-0.005894399999999968,0.55,0.0,0.09087213251864716,0.0,4792.75,6467.89,2945540.07,9588266.06,1,1,5,5,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0730,2026-03-05T07:30:00+00:00,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,Pnut ,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,-0.009807899999999972,-0.014994999999999972,0.0051871,-0.00755130000000003,-0.014994999999999972,0.007443699999999942,-0.005993499999999976,-0.014994999999999972,0.009001499999999996,-0.003150100000000036,-0.015179000000000045,0.012028900000000009,0.38,-0.09,0.0853244066274703,0.018932597226384004,9167.74,7737.43,5346157.82,2935460.27,1,1,6,7,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0745,2026-03-05T07:45:00+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,Pnut ,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,-0.01102749999999996,-0.014994999999999972,0.003967500000000013,-0.011055600000000046,-0.014994999999999972,0.003939399999999926,-0.011837300000000042,-0.015179000000000045,0.003341700000000003,-0.010334799999999969,-0.015179000000000045,0.004844200000000076,0.47,0.0,0.14226256236510904,0.0,4694.73,7683.96,3347464.97,2935460.27,1,1,9,9,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0800,2026-03-05T08:00:00+00:00,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,-0.012166000000000001,-0.01499700000000003,0.002831000000000028,-0.012166000000000001,-0.014115599999999997,0.0019495999999999958,-0.012624300000000024,-0.014115599999999997,0.0014912999999999732,-0.01614669999999995,-0.005246000000000075,-0.010900699999999876,0.18,-1.33,0.2479854409928887,0.27094029466454667,32973.67,7597.59,1514752.22,1113250.05,1,1,1,1,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0815,2026-03-05T08:15:00+00:00,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,-0.009937000000000076,-0.0119285,0.001991499999999924,-0.012600200000000053,-0.015625800000000016,0.0030255999999999634,-0.01502210000000003,-0.015453299999999994,0.00043119999999996494,-0.012708000000000044,-0.015177199999999993,0.002469199999999949,0.28,-0.31,0.04822040895348692,0.072519653833701,54900.84,33057.97,405406.72,1514102.76,1,1,4,4,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0830,2026-03-05T08:30:00+00:00,Pnut ,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,-0.014994999999999972,-0.011089699999999971,-0.0039053000000000004,-0.014560800000000032,-0.00983310000000003,-0.004727700000000001,-0.01457200000000002,-0.010814899999999952,-0.0037571000000000687,-0.015551100000000031,-0.011868599999999998,-0.003682500000000033,0.13,-0.61,0.028760856320616427,0.14106734420988473,281.67,4823.89,2894908.93,3318506.34,1,1,5,6,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0845,2026-03-05T08:45:00+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,-0.010946200000000008,-0.014994199999999949,0.0040479999999999405,-0.011018900000000045,-0.014183900000000018,0.0031649999999999734,-0.011954600000000029,-0.014392199999999957,0.0024375999999999287,-0.00856619999999996,-0.014848500000000034,0.006282300000000074,0.34,0.0,0.07705366279017441,0.0,4137.64,3148.85,3335754.78,9551786.07,1,1,8,8,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0900,2026-03-05T09:00:00+00:00,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,-0.009750600000000045,-0.01499700000000003,0.005246399999999984,-0.008638399999999926,-0.01552509999999995,0.006886700000000023,-0.0040903000000000935,-0.01610920000000004,0.012018899999999945,-0.0032430000000000982,-0.010404599999999977,0.007161599999999879,0.04,0.0,0.041522582903228536,0.0,53622.78,4366.92,407753.95,1125439.24,1,1,1,2,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0915,2026-03-05T09:15:00+00:00,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,-0.009724999999999975,-0.01499700000000003,0.005272000000000054,-0.009231399999999992,-0.014758799999999952,0.00552739999999996,-0.00885259999999998,-0.009285999999999897,0.0004333999999999172,-0.00596079999999998,-0.008548599999999898,0.002587799999999918,0.48,0.0,0.07277227384869053,0.0,62839.08,4435.8,410963.82,1132570.69,1,1,4,4,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0930,2026-03-05T09:30:00+00:00,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,-0.015522099999999974,-0.01259330000000002,-0.0029287999999999537,-0.015522099999999974,-0.013200399999999992,-0.002321699999999982,-0.014263699999999982,-0.014902799999999985,0.0006391000000000036,-0.012290000000000014,-0.027949899999999965,0.01565989999999995,0.38,0.0,0.16854820321281633,0.0,3182.35,1417.11,1139745.01,1538318.77,1,1,6,6,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_0945,2026-03-05T09:45:00+00:00,Pnut ,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,-0.014994999999999972,-0.010978799999999947,-0.004016200000000025,-0.013963799999999962,-0.010165599999999988,-0.003798199999999974,-0.009507099999999982,-0.011414099999999974,0.001906999999999992,-0.008964900000000045,-0.010170699999999968,0.0012057999999999236,0.47,-0.07,0.10849330138783639,0.1609611287382288,6608.84,6570.67,2939752.55,3379074.94,1,1,8,8,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1000,2026-03-05T10:00:00+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,-0.010867900000000033,-0.011314499999999996,0.0004465999999999637,-0.010467899999999966,-0.011122999999999985,0.0006551000000000196,-0.009374500000000055,-0.009811599999999912,0.00043709999999985705,-0.00889960000000011,-0.01321490000000002,0.004315299999999911,0.55,-0.08,0.10737941833511878,0.20724642745800415,7489.99,12287.14,3377709.7,1523199.23,1,1,0,1,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1015,2026-03-05T10:15:00+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,Pnut ,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,-0.010113800000000053,-0.014994999999999972,0.004881199999999919,-0.009577200000000055,-0.01689910000000005,0.007321899999999994,-0.009612200000000062,-0.020122100000000025,0.010509899999999963,-0.006248900000000104,-0.017433800000000048,0.011184899999999944,0.82,0.0,0.16978314305763553,0.0,5192.13,7384.59,3387941.72,2951295.58,1,1,4,4,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1030,2026-03-05T10:30:00+00:00,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,-0.014997299999999983,-0.01268999999999997,-0.002307300000000012,-0.0179418,-0.010535500000000022,-0.0074062999999999785,-0.019678900000000048,-0.012549299999999977,-0.007129600000000071,-0.019852100000000032,-0.011571800000000012,-0.00828030000000002,1.06,-0.07,0.24255633932695791,0.014503919172553637,5869.51,11163.5,1149996.18,1530426.74,1,1,6,7,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1045,2026-03-05T10:45:00+00:00,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,-0.010301299999999949,-0.01499559999999999,0.00469430000000004,-0.009807099999999949,-0.014994999999999972,0.005187900000000023,-0.008433200000000021,-0.014493799999999992,0.0060605999999999716,-0.0002244000000000048,-0.007077299999999944,0.00685289999999994,0.47,0.0,0.0839513334694688,0.0,58427.26,18519.48,5429300.6,9821437.4,1,1,9,9,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1100,2026-03-05T11:00:00+00:00,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,-0.010956599999999974,-0.014994199999999949,0.0040375999999999745,-0.0020587000000000712,-0.01184340000000005,0.00978469999999998,-0.0018696000000000181,-0.007581400000000063,0.005711800000000045,-0.003501600000000096,-0.007583099999999945,0.004081499999999849,0.43,-0.27,0.1567410336639213,0.15032639554924482,54885.87,12071.53,5438501.31,9772533.53,1,1,2,2,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1115,2026-03-05T11:15:00+00:00,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,-0.010127899999999959,-0.011289100000000043,0.0011612000000000844,-0.010999199999999978,-0.013062800000000032,0.0020636000000000543,-0.009884299999999948,-0.011575699999999958,0.0016914000000000096,-0.012007899999999952,-0.02388820000000002,0.011880300000000068,0.93,-0.44,0.15532386671565981,0.11478797718046764,23548.57,71286.23,3445482.89,5450241.07,1,1,5,5,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1130,2026-03-05T11:30:00+00:00,JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,-0.009905000000000044,-0.011322799999999958,0.0014177999999999136,-0.012779899999999947,-0.012996099999999946,0.00021619999999999973,-0.013101699999999985,-0.022562300000000028,0.009460600000000043,-0.011490800000000015,-0.021946000000000014,0.0104552,0.26,0.0,0.02733889206716426,0.0,158302.95,68898.63,413067.02,5437138.51,1,1,7,7,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1145,2026-03-05T11:45:00+00:00,Pnut ,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,-0.014994999999999972,-0.012108800000000022,-0.00288619999999995,-0.014994999999999972,-0.01279229999999997,-0.002202700000000002,-0.015030500000000049,-0.0116872,-0.003343300000000049,-0.01564229999999999,-0.010700099999999982,-0.004942200000000009,0.14,-0.73,0.20639456116003088,0.1666571635412319,8592.92,15707.38,2960876.34,3411215.06,1,1,0,0,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1200,2026-03-05T12:00:00+00:00,BOME,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,POPCAT,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,-0.014994199999999949,-0.011112200000000008,-0.003881999999999941,-0.015008000000000013,-0.007786000000000062,-0.007221999999999951,-0.015917799999999975,-0.01029429999999997,-0.005623500000000005,-0.015656200000000002,-0.005417599999999903,-0.0102386000000001,0.45,0.0,0.15774182930916286,0.15968859387001252,34497.91,16179.09,9725332.55,3412425.98,1,1,3,4,0
0c5337dd-2488-4730-90b6-e371fd1e9511,lcr_continuation_observer_v1,lcr,20260305_1215,2026-03-05T12:15:00+00:00,CHILLGUY,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,-0.014996899999999971,-0.009657500000000088,-0.005339399999999883,-0.012948799999999974,-0.007508199999999956,-0.005440600000000018,-0.012063600000000054,-0.004188199999999967,-0.007875400000000088,-0.01660749999999999,-0.00489800000000006,-0.01170949999999993,0.68,0.0,0.11192885942016549,0.0,24088.86,23364.12,1161194.26,5377516.67,1,1,6,6,0
